nr_pedido,dt_momento,codigo_filial,nome_filial,codigo_cliente,nome_cliente,uf,codigo_produto,descricao_produto,marca,preco_unitario,quantidade,avaliacao
56,2019-01-06,10,Filial 10,55,Cliente 55,ES,18,Produto 18,Marca 2,98.95,7,4
57,2019-01-06,7,Filial 7,18,Cliente 18,MG,16,Produto 16,Marca 2,12.40,5,3
58,2019-01-06,9,Filial 9,62,Cliente 62,RJ,12,Produto 12,Marca 2,68.11,4,3
59,2019-01-06,4,Filial 4,18,Cliente 18,MG,11,Produto 11,Marca 1,17.47,6,5
60,2019-01-06,1,Filial 1,93,Cliente 93,RJ,6,Produto 6,Marca 1,87.73,2,2
61,2019-01-07,2,Filial 2,90,Cliente 90,PR,11,Produto 11,Marca 1,17.47,4,4
62,2019-01-07,9,Filial 9,14,Cliente 14,AL,15,Produto 15,Marca 1,14.57,6,5
63,2019-01-07,4,Filial 4,95,Cliente 95,GO,7,Produto 7,Marca 1,21.32,7,5
64,2019-01-07,6,Filial 6,5,Cliente 5,AP,11,Produto 11,Marca 1,17.47,3,4
65,2019-01-07,8,Filial 8,51,Cliente 51,MG,18,Produto 18,Marca 2,98.95,7,2
66,2019-01-07,5,Filial 5,33,Cliente 33,GO,17,Produto 17,Marca 2,23.67,4,4
67,2019-01-07,10,Filial 10,3,Cliente 3,TO,2,Produto 2,Marca 3,99.33,5,5
68,2019-01-07,3,Filial 3,26,Cliente 26,RO,11,Produto 11,Marca 1,17.47,7,3
69,2019-01-07,7,Filial 7,85,Cliente 85,MA,4,Produto 4,Marca 3,44.85,4,5
70,2019-01-07,1,Filial 1,82,Cliente 82,SP,4,Produto 4,Marca 3,44.85,4,5
71,2019-01-08,10,Filial 10,26,Cliente 26,RO,15,Produto 15,Marca 1,14.57,3,2
72,2019-01-08,9,Filial 9,15,Cliente 15,AC,4,Produto 4,Marca 3,44.85,4,4
73,2019-01-08,2,Filial 2,61,Cliente 61,SE,8,Produto 8,Marca 2,44.87,3,4
74,2019-01-08,5,Filial 5,64,Cliente 64,PA,15,Produto 15,Marca 1,14.57,7,5
75,2019-01-08,3,Filial 3,64,Cliente 64,PA,19,Produto 19,Marca 1,16.28,3,3
76,2019-01-08,7,Filial 7,68,Cliente 68,AL,14,Produto 14,Marca 3,2.87,6,3
77,2019-01-08,6,Filial 6,91,Cliente 91,SP,14,Produto 14,Marca 3,2.87,6,4
78,2019-01-08,1,Filial 1,81,Cliente 81,RO,7,Produto 7,Marca 1,21.32,2,3
79,2019-01-08,4,Filial 4,96,Cliente 96,RJ,18,Produto 18,Marca 2,98.95,7,2
80,2019-01-08,8,Filial 8,54,Cliente 54,RO,16,Produto 16,Marca 2,12.40,6,4
81,2019-01-09,2,Filial 2,97,Cliente 97,MG,7,Produto 7,Marca 1,21.32,7,3
82,2019-01-09,4,Filial 4,60,Cliente 60,SE,6,Produto 6,Marca 1,87.73,4,3
83,2019-01-09,1,Filial 1,81,Cliente 81,RO,10,Produto 10,Marca 1,33.55,7,3
84,2019-01-09,10,Filial 10,4,Cliente 4,CE,17,Produto 17,Marca 2,23.67,5,2
85,2019-01-09,5,Filial 5,75,Cliente 75,RS,3,Produto 3,Marca 2,49.45,4,4
86,2019-01-09,7,Filial 7,63,Cliente 63,RO,9,Produto 9,Marca 2,41.93,4,3
87,2019-01-09,9,Filial 9,77,Cliente 77,AM,16,Produto 16,Marca 2,12.40,6,3
88,2019-01-09,6,Filial 6,81,Cliente 81,RO,10,Produto 10,Marca 1,33.55,6,5
89,2019-01-09,3,Filial 3,70,Cliente 70,MA,18,Produto 18,Marca 2,98.95,4,2
90,2019-01-09,8,Filial 8,91,Cliente 91,SP,17,Produto 17,Marca 2,23.67,4,2
91,2019-01-10,3,Filial 3,27,Cliente 27,ES,17,Produto 17,Marca 2,23.67,3,2
92,2019-01-10,2,Filial 2,41,Cliente 41,PA,7,Produto 7,Marca 1,21.32,7,2
93,2019-01-10,8,Filial 8,2,Cliente 2,CE,10,Produto 10,Marca 1,33.55,7,3
94,2019-01-10,1,Filial 1,78,Cliente 78,PR,4,Produto 4,Marca 3,44.85,7,5
95,2019-01-10,9,Filial 9,75,Cliente 75,RS,10,Produto 10,Marca 1,33.55,4,5
96,2019-01-10,6,Filial 6,37,Cliente 37,RS,7,Produto 7,Marca 1,21.32,7,4
97,2019-01-10,5,Filial 5,40,Cliente 40,MT,17,Produto 17,Marca 2,23.67,3,5
98,2019-01-10,7,Filial 7,64,Cliente 64,PA,14,Produto 14,Marca 3,2.87,7,4
99,2019-01-10,10,Filial 10,13,Cliente 13,GO,14,Produto 14,Marca 3,2.87,4,5
100,2019-01-10,4,Filial 4,92,Cliente 92,AL,17,Produto 17,Marca 2,23.67,2,5
101,2019-01-11,3,Filial 3,42,Cliente 42,SE,8,Produto 8,Marca 2,44.87,6,3
102,2019-01-11,6,Filial 6,17,Cliente 17,PA,20,Produto 20,Marca 2,64.09,2,4
103,2019-01-11,4,Filial 4,89,Cliente 89,RR,7,Produto 7,Marca 1,21.32,7,2
104,2019-01-11,7,Filial 7,55,Cliente 55,ES,4,Produto 4,Marca 3,44.85,5,4
105,2019-01-11,10,Filial 10,9,Cliente 9,RN,20,Produto 20,Marca 2,64.09,2,5
106,2019-01-11,2,Filial 2,49,Cliente 49,RS,7,Produto 7,Marca 1,21.32,7,3
107,2019-01-11,1,Filial 1,1,Cliente 1,MA,12,Produto 12,Marca 2,68.11,4,3
108,2019-01-11,5,Filial 5,69,Cliente 69,SE,5,Produto 5,Marca 1,86.60,7,2
109,2019-01-11,8,Filial 8,82,Cliente 82,SP,6,Produto 6,Marca 1,87.73,5,4
110,2019-01-11,9,Filial 9,41,Cliente 41,PA,18,Produto 18,Marca 2,98.95,4,4
111,2019-01-12,7,Filial 7,95,Cliente 95,GO,9,Produto 9,Marca 2,41.93,2,3
112,2019-01-12,10,Filial 10,16,Cliente 16,MA,19,Produto 19,Marca 1,16.28,7,5
113,2019-01-12,2,Filial 2,51,Cliente 51,MG,4,Produto 4,Marca 3,44.85,3,2
114,2019-01-12,1,Filial 1,90,Cliente 90,PR,12,Produto 12,Marca 2,68.11,5,2
115,2019-01-12,3,Filial 3,2,Cliente 2,CE,11,Produto 11,Marca 1,17.47,6,2
116,2019-01-12,9,Filial 9,50,Cliente 50,GO,2,Produto 2,Marca 3,99.33,6,5
117,2019-01-12,8,Filial 8,2,Cliente 2,CE,9,Produto 9,Marca 2,41.93,7,4
118,2019-01-12,4,Filial 4,7,Cliente 7,PA,17,Produto 17,Marca 2,23.67,7,3
119,2019-01-12,5,Filial 5,14,Cliente 14,AL,20,Produto 20,Marca 2,64.09,4,3
120,2019-01-12,6,Filial 6,48,Cliente 48,MS,14,Produto 14,Marca 3,2.87,5,2
121,2019-01-13,1,Filial 1,44,Cliente 44,PI,3,Produto 3,Marca 2,49.45,5,2
122,2019-01-13,4,Filial 4,36,Cliente 36,SP,8,Produto 8,Marca 2,44.87,4,2
123,2019-01-13,10,Filial 10,23,Cliente 23,CE,16,Produto 16,Marca 2,12.40,2,3
124,2019-01-13,2,Filial 2,57,Cliente 57,SP,12,Produto 12,Marca 2,68.11,6,3
125,2019-01-13,8,Filial 8,70,Cliente 70,MA,19,Produto 19,Marca 1,16.28,2,5
126,2019-01-13,6,Filial 6,44,Cliente 44,PI,7,Produto 7,Marca 1,21.32,2,5
127,2019-01-13,5,Filial 5,18,Cliente 18,MG,17,Produto 17,Marca 2,23.67,4,3
128,2019-01-13,3,Filial 3,52,Cliente 52,PI,9,Produto 9,Marca 2,41.93,2,5
129,2019-01-13,9,Filial 9,35,Cliente 35,PB,20,Produto 20,Marca 2,64.09,5,2
130,2019-01-13,7,Filial 7,7,Cliente 7,PA,7,Produto 7,Marca 1,21.32,5,4
131,2019-01-14,3,Filial 3,86,Cliente 86,RN,8,Produto 8,Marca 2,44.87,2,4
132,2019-01-14,10,Filial 10,23,Cliente 23,CE,5,Produto 5,Marca 1,86.60,5,5
133,2019-01-14,1,Filial 1,97,Cliente 97,MG,14,Produto 14,Marca 3,2.87,2,2
134,2019-01-14,4,Filial 4,22,Cliente 22,CE,17,Produto 17,Marca 2,23.67,5,4
135,2019-01-14,6,Filial 6,56,Cliente 56,GO,6,Produto 6,Marca 1,87.73,4,3
136,2019-01-14,9,Filial 9,14,Cliente 14,AL,15,Produto 15,Marca 1,14.57,3,5
137,2019-01-14,8,Filial 8,69,Cliente 69,SE,14,Produto 14,Marca 3,2.87,3,4
138,2019-01-14,2,Filial 2,68,Cliente 68,AL,9,Produto 9,Marca 2,41.93,7,3
139,2019-01-14,5,Filial 5,10,Cliente 10,SP,3,Produto 3,Marca 2,49.45,3,4
140,2019-01-14,7,Filial 7,24,Cliente 24,PR,9,Produto 9,Marca 2,41.93,7,3
141,2019-01-15,3,Filial 3,60,Cliente 60,SE,7,Produto 7,Marca 1,21.32,4,3
142,2019-01-15,7,Filial 7,40,Cliente 40,MT,20,Produto 20,Marca 2,64.09,4,5
143,2019-01-15,8,Filial 8,42,Cliente 42,SE,2,Produto 2,Marca 3,99.33,3,5
144,2019-01-15,2,Filial 2,74,Cliente 74,AM,8,Produto 8,Marca 2,44.87,4,2
145,2019-01-15,1,Filial 1,34,Cliente 34,RS,10,Produto 10,Marca 1,33.55,7,2
146,2019-01-15,5,Filial 5,19,Cliente 19,MS,11,Produto 11,Marca 1,17.47,6,3
147,2019-01-15,6,Filial 6,35,Cliente 35,PB,2,Produto 2,Marca 3,99.33,2,5
148,2019-01-15,4,Filial 4,35,Cliente 35,PB,16,Produto 16,Marca 2,12.40,4,4
149,2019-01-15,9,Filial 9,82,Cliente 82,SP,5,Produto 5,Marca 1,86.60,3,5
150,2019-01-15,10,Filial 10,10,Cliente 10,SP,16,Produto 16,Marca 2,12.40,6,4
151,2019-01-16,7,Filial 7,40,Cliente 40,MT,12,Produto 12,Marca 2,68.11,7,4
152,2019-01-16,9,Filial 9,99,Cliente 99,MG,15,Produto 15,Marca 1,14.57,6,5
153,2019-01-16,2,Filial 2,62,Cliente 62,RJ,3,Produto 3,Marca 2,49.45,2,4
154,2019-01-16,10,Filial 10,96,Cliente 96,RJ,12,Produto 12,Marca 2,68.11,2,3
155,2019-01-16,4,Filial 4,60,Cliente 60,SE,7,Produto 7,Marca 1,21.32,5,3
156,2019-01-16,3,Filial 3,89,Cliente 89,RR,7,Produto 7,Marca 1,21.32,4,5
157,2019-01-16,8,Filial 8,35,Cliente 35,PB,13,Produto 13,Marca 3,18.60,6,2
158,2019-01-16,1,Filial 1,82,Cliente 82,SP,13,Produto 13,Marca 3,18.60,7,2
159,2019-01-16,6,Filial 6,44,Cliente 44,PI,17,Produto 17,Marca 2,23.67,4,3
160,2019-01-16,5,Filial 5,94,Cliente 94,PE,13,Produto 13,Marca 3,18.60,6,5
161,2019-01-17,9,Filial 9,59,Cliente 59,PB,12,Produto 12,Marca 2,68.11,5,2
162,2019-01-17,7,Filial 7,48,Cliente 48,MS,5,Produto 5,Marca 1,86.60,4,3
163,2019-01-17,4,Filial 4,55,Cliente 55,ES,4,Produto 4,Marca 3,44.85,6,4
164,2019-01-17,6,Filial 6,64,Cliente 64,PA,10,Produto 10,Marca 1,33.55,4,5
165,2019-01-17,10,Filial 10,44,Cliente 44,PI,13,Produto 13,Marca 3,18.60,3,2
166,2019-01-17,8,Filial 8,28,Cliente 28,PB,12,Produto 12,Marca 2,68.11,6,2
167,2019-01-17,1,Filial 1,4,Cliente 4,CE,10,Produto 10,Marca 1,33.55,4,4
168,2019-01-17,2,Filial 2,27,Cliente 27,ES,8,Produto 8,Marca 2,44.87,3,3
169,2019-01-17,3,Filial 3,52,Cliente 52,PI,16,Produto 16,Marca 2,12.40,7,3
170,2019-01-17,5,Filial 5,40,Cliente 40,MT,16,Produto 16,Marca 2,12.40,5,5
171,2019-01-18,7,Filial 7,39,Cliente 39,AL,5,Produto 5,Marca 1,86.60,7,3
172,2019-01-18,5,Filial 5,39,Cliente 39,AL,15,Produto 15,Marca 1,14.57,3,3
173,2019-01-18,4,Filial 4,75,Cliente 75,RS,2,Produto 2,Marca 3,99.33,2,4
174,2019-01-18,2,Filial 2,13,Cliente 13,GO,12,Produto 12,Marca 2,68.11,6,2
175,2019-01-18,8,Filial 8,44,Cliente 44,PI,13,Produto 13,Marca 3,18.60,6,4
176,2019-01-18,3,Filial 3,37,Cliente 37,RS,2,Produto 2,Marca 3,99.33,6,2
177,2019-01-18,1,Filial 1,71,Cliente 71,RS,7,Produto 7,Marca 1,21.32,4,3
178,2019-01-18,10,Filial 10,92,Cliente 92,AL,14,Produto 14,Marca 3,2.87,2,5
179,2019-01-18,6,Filial 6,62,Cliente 62,RJ,11,Produto 11,Marca 1,17.47,5,2
180,2019-01-18,9,Filial 9,62,Cliente 62,RJ,6,Produto 6,Marca 1,87.73,5,3
181,2019-01-19,3,Filial 3,17,Cliente 17,PA,11,Produto 11,Marca 1,17.47,2,2
182,2019-01-19,5,Filial 5,17,Cliente 17,PA,5,Produto 5,Marca 1,86.60,3,4
183,2019-01-19,10,Filial 10,62,Cliente 62,RJ,17,Produto 17,Marca 2,23.67,5,2
184,2019-01-19,6,Filial 6,2,Cliente 2,CE,19,Produto 19,Marca 1,16.28,5,4
185,2019-01-19,2,Filial 2,39,Cliente 39,AL,20,Produto 20,Marca 2,64.09,6,3
186,2019-01-19,8,Filial 8,22,Cliente 22,CE,13,Produto 13,Marca 3,18.60,7,5
187,2019-01-19,9,Filial 9,24,Cliente 24,PR,11,Produto 11,Marca 1,17.47,5,5
188,2019-01-19,7,Filial 7,1,Cliente 1,MA,4,Produto 4,Marca 3,44.85,2,5
189,2019-01-19,1,Filial 1,22,Cliente 22,CE,10,Produto 10,Marca 1,33.55,3,5
190,2019-01-19,4,Filial 4,39,Cliente 39,AL,9,Produto 9,Marca 2,41.93,6,3
191,2019-01-20,6,Filial 6,67,Cliente 67,ES,13,Produto 13,Marca 3,18.60,6,2
192,2019-01-20,10,Filial 10,97,Cliente 97,MG,11,Produto 11,Marca 1,17.47,6,5
193,2019-01-20,5,Filial 5,66,Cliente 66,DF,17,Produto 17,Marca 2,23.67,2,4
194,2019-01-20,2,Filial 2,80,Cliente 80,RR,16,Produto 16,Marca 2,12.40,5,4
195,2019-01-20,8,Filial 8,6,Cliente 6,RN,2,Produto 2,Marca 3,99.33,5,5
196,2019-01-20,9,Filial 9,79,Cliente 79,RN,12,Produto 12,Marca 2,68.11,2,3
197,2019-01-20,1,Filial 1,28,Cliente 28,PB,18,Produto 18,Marca 2,98.95,7,3
198,2019-01-20,7,Filial 7,76,Cliente 76,AC,7,Produto 7,Marca 1,21.32,4,3
199,2019-01-20,4,Filial 4,93,Cliente 93,RJ,8,Produto 8,Marca 2,44.87,5,2
200,2019-01-20,3,Filial 3,61,Cliente 61,SE,7,Produto 7,Marca 1,21.32,4,4
201,2019-01-21,10,Filial 10,53,Cliente 53,RR,13,Produto 13,Marca 3,18.60,6,2
202,2019-01-21,9,Filial 9,72,Cliente 72,SE,8,Produto 8,Marca 2,44.87,2,2
203,2019-01-21,8,Filial 8,51,Cliente 51,MG,14,Produto 14,Marca 3,2.87,5,5
204,2019-01-21,6,Filial 6,66,Cliente 66,DF,10,Produto 10,Marca 1,33.55,3,4
205,2019-01-21,1,Filial 1,13,Cliente 13,GO,18,Produto 18,Marca 2,98.95,6,3
206,2019-01-21,4,Filial 4,23,Cliente 23,CE,2,Produto 2,Marca 3,99.33,7,2
207,2019-01-21,7,Filial 7,41,Cliente 41,PA,4,Produto 4,Marca 3,44.85,7,5
208,2019-01-21,5,Filial 5,66,Cliente 66,DF,11,Produto 11,Marca 1,17.47,5,4
209,2019-01-21,2,Filial 2,69,Cliente 69,SE,18,Produto 18,Marca 2,98.95,2,4
210,2019-01-21,3,Filial 3,23,Cliente 23,CE,9,Produto 9,Marca 2,41.93,2,2
211,2019-01-22,9,Filial 9,68,Cliente 68,AL,11,Produto 11,Marca 1,17.47,7,2
212,2019-01-22,4,Filial 4,58,Cliente 58,PA,12,Produto 12,Marca 2,68.11,7,3
213,2019-01-22,7,Filial 7,6,Cliente 6,RN,7,Produto 7,Marca 1,21.32,2,5
214,2019-01-22,3,Filial 3,60,Cliente 60,SE,8,Produto 8,Marca 2,44.87,2,2
215,2019-01-22,10,Filial 10,8,Cliente 8,RJ,13,Produto 13,Marca 3,18.60,6,3
216,2019-01-22,2,Filial 2,59,Cliente 59,PB,19,Produto 19,Marca 1,16.28,6,4
217,2019-01-22,8,Filial 8,63,Cliente 63,RO,4,Produto 4,Marca 3,44.85,4,5
218,2019-01-22,6,Filial 6,67,Cliente 67,ES,4,Produto 4,Marca 3,44.85,4,3
219,2019-01-22,5,Filial 5,54,Cliente 54,RO,4,Produto 4,Marca 3,44.85,5,5
220,2019-01-22,1,Filial 1,4,Cliente 4,CE,11,Produto 11,Marca 1,17.47,2,3
221,2019-01-23,7,Filial 7,13,Cliente 13,GO,14,Produto 14,Marca 3,2.87,3,3
222,2019-01-23,5,Filial 5,20,Cliente 20,PB,20,Produto 20,Marca 2,64.09,3,4
223,2019-01-23,8,Filial 8,8,Cliente 8,RJ,9,Produto 9,Marca 2,41.93,3,2
224,2019-01-23,9,Filial 9,58,Cliente 58,PA,16,Produto 16,Marca 2,12.40,6,4
225,2019-01-23,6,Filial 6,75,Cliente 75,RS,18,Produto 18,Marca 2,98.95,7,2
226,2019-01-23,3,Filial 3,36,Cliente 36,SP,14,Produto 14,Marca 3,2.87,2,4
227,2019-01-23,4,Filial 4,21,Cliente 21,AL,14,Produto 14,Marca 3,2.87,6,2
228,2019-01-23,1,Filial 1,77,Cliente 77,AM,17,Produto 17,Marca 2,23.67,7,3
229,2019-01-23,10,Filial 10,21,Cliente 21,AL,4,Produto 4,Marca 3,44.85,4,3
230,2019-01-23,2,Filial 2,58,Cliente 58,PA,2,Produto 2,Marca 3,99.33,3,2
231,2019-01-24,5,Filial 5,52,Cliente 52,PI,4,Produto 4,Marca 3,44.85,6,5
232,2019-01-24,6,Filial 6,6,Cliente 6,RN,14,Produto 14,Marca 3,2.87,5,3
233,2019-01-24,4,Filial 4,51,Cliente 51,MG,10,Produto 10,Marca 1,33.55,6,3
234,2019-01-24,3,Filial 3,20,Cliente 20,PB,20,Produto 20,Marca 2,64.09,5,2
235,2019-01-24,8,Filial 8,5,Cliente 5,AP,19,Produto 19,Marca 1,16.28,3,5
236,2019-01-24,9,Filial 9,23,Cliente 23,CE,11,Produto 11,Marca 1,17.47,3,2
237,2019-01-24,1,Filial 1,72,Cliente 72,SE,19,Produto 19,Marca 1,16.28,5,4
238,2019-01-24,10,Filial 10,12,Cliente 12,BA,6,Produto 6,Marca 1,87.73,2,2
239,2019-01-24,7,Filial 7,88,Cliente 88,PA,5,Produto 5,Marca 1,86.60,5,4
240,2019-01-24,2,Filial 2,16,Cliente 16,MA,10,Produto 10,Marca 1,33.55,4,5
241,2019-01-25,7,Filial 7,55,Cliente 55,ES,10,Produto 10,Marca 1,33.55,5,2
242,2019-01-25,3,Filial 3,21,Cliente 21,AL,17,Produto 17,Marca 2,23.67,3,5
243,2019-01-25,2,Filial 2,94,Cliente 94,PE,12,Produto 12,Marca 2,68.11,3,3
244,2019-01-25,9,Filial 9,87,Cliente 87,RJ,11,Produto 11,Marca 1,17.47,3,5
245,2019-01-25,4,Filial 4,60,Cliente 60,SE,4,Produto 4,Marca 3,44.85,3,2
246,2019-01-25,5,Filial 5,8,Cliente 8,RJ,10,Produto 10,Marca 1,33.55,5,4
247,2019-01-25,10,Filial 10,32,Cliente 32,SE,14,Produto 14,Marca 3,2.87,5,4
248,2019-01-25,1,Filial 1,13,Cliente 13,GO,8,Produto 8,Marca 2,44.87,4,2
249,2019-01-25,6,Filial 6,85,Cliente 85,MA,6,Produto 6,Marca 1,87.73,6,2
250,2019-01-25,8,Filial 8,40,Cliente 40,MT,7,Produto 7,Marca 1,21.32,6,2
251,2019-01-26,6,Filial 6,47,Cliente 47,RN,15,Produto 15,Marca 1,14.57,3,5
252,2019-01-26,5,Filial 5,94,Cliente 94,PE,6,Produto 6,Marca 1,87.73,5,3
253,2019-01-26,8,Filial 8,72,Cliente 72,SE,7,Produto 7,Marca 1,21.32,5,4
254,2019-01-26,3,Filial 3,80,Cliente 80,RR,12,Produto 12,Marca 2,68.11,6,3
255,2019-01-26,4,Filial 4,2,Cliente 2,CE,20,Produto 20,Marca 2,64.09,7,5
256,2019-01-26,7,Filial 7,13,Cliente 13,GO,8,Produto 8,Marca 2,44.87,4,4
257,2019-01-26,9,Filial 9,9,Cliente 9,RN,8,Produto 8,Marca 2,44.87,3,2
258,2019-01-26,10,Filial 10,97,Cliente 97,MG,10,Produto 10,Marca 1,33.55,3,3
259,2019-01-26,1,Filial 1,17,Cliente 17,PA,8,Produto 8,Marca 2,44.87,6,5
260,2019-01-26,2,Filial 2,40,Cliente 40,MT,5,Produto 5,Marca 1,86.60,3,4
261,2019-01-27,7,Filial 7,76,Cliente 76,AC,15,Produto 15,Marca 1,14.57,6,2
262,2019-01-27,1,Filial 1,64,Cliente 64,PA,7,Produto 7,Marca 1,21.32,6,3
263,2019-01-27,4,Filial 4,26,Cliente 26,RO,11,Produto 11,Marca 1,17.47,6,5
264,2019-01-27,3,Filial 3,64,Cliente 64,PA,19,Produto 19,Marca 1,16.28,5,2
265,2019-01-27,6,Filial 6,55,Cliente 55,ES,19,Produto 19,Marca 1,16.28,2,2
266,2019-01-27,10,Filial 10,18,Cliente 18,MG,5,Produto 5,Marca 1,86.60,7,3
267,2019-01-27,9,Filial 9,93,Cliente 93,RJ,6,Produto 6,Marca 1,87.73,4,2
268,2019-01-27,5,Filial 5,90,Cliente 90,PR,18,Produto 18,Marca 2,98.95,3,2
269,2019-01-27,2,Filial 2,41,Cliente 41,PA,13,Produto 13,Marca 3,18.60,5,4
270,2019-01-27,8,Filial 8,15,Cliente 15,AC,12,Produto 12,Marca 2,68.11,7,5
271,2019-01-28,6,Filial 6,2,Cliente 2,CE,15,Produto 15,Marca 1,14.57,7,3
